hotel_name,hotel_stars_count,location,rating,room_type1,occupancy1,summer_price1,room_type2,occupancy2,summer_price2,room_type3,occupancy3,summer_price3,amenities_list
Семеен хотел Къщата с кивито,,Созопол,,стандартна стая,2,70 лв,стандартна стая,4,90 лв,лукс стая,2,75 лв,"['барбекю', 'камина', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'гладене', 'електрическа кана']"
Хотел Антеа Сердика,,Созопол,9.6,апартамент,2,170 лв,апартамент,2,200 лв,лукс апартамент,2,200 лв,"['ресторант', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'електрическа кана', 'асансьор']"
Хотел Сънрайз,3.0,Созопол,8.9,апартамент,3,176 лв,апартамент,4,195 лв,апартамент,5,285 лв,"['открит басейн', 'паркинг', 'рент-а-кар', 'детски басейн', 'телевизор', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'плащане с карта', 'лятна градина']"
Комплекс Лазур,3.0,Созопол,,стандартна стая,2,100 лв,стандартна стая,3,100 лв,стандартна стая,4,120 лв,"['открит басейн', 'паркинг', 'детски басейн', 'барбекю', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'бизнес услуги', 'дом. любимци', 'бар-басейн', 'електрическа кана', 'готварска печка']"
Семеен хотел Бриз,3.0,Созопол,9.1,стандартна стая,2,135 лв,стандартна стая,3,156 лв,студио,3,166 лв,"['паркинг', 'ресторант', 'сейф', 'детски кът', 'лоби бар', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта']"
Хотел Ефект Свети Мина,2.0,Созопол,9.0,,,,,,,,,,"['тенис на маса', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'изглед', 'ютия', 'сешоар', 'плащане с карта', 'лятна градина']"
Хотел Роял Калисто,3.0,Созопол,9.1,лукс стая,2,220 лв,апартамент,4,330 лв,лукс апартамент,6,460 лв,"['открит басейн', 'паркинг', 'ресторант', 'сейф', 'детски кът', 'детски басейн', 'лоби бар', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта', 'дом. любимци', 'кафе машина', 'лятна градина', 'електрическа кана']"
Хотел Каса де Оро,,Созопол,9.5,апартамент,3,400 лв,апартамент,4,600 лв,,,,"['паркинг', 'кафене', 'телевизор', 'кухня', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'плащане с карта', 'кафе машина', 'лятна градина', 'електрическа кана']"
Хотел Антеа,4.0,Созопол,9.5,стандартна стая,2,315 лв,студио,3,415 лв,апартамент,4,515 лв,"['ресторант', 'фитнес', 'рент-а-кар', 'сауна', 'сейф', 'рум сервиз', 'детски кът', 'детски басейн', 'лоби бар', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'закрит басейн', 'вана', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта', 'хим. чистене', 'дом. любимци', 'кафе машина', 'достъп за инвалиди', 'SPA център', 'електрическа кана']"
Семеен хотел Емилия,3.0,Созопол,9.7,стандартна стая,1,80 лв,стандартна стая,1,80 лв,студио,3,95 лв,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'гладене', 'кафе машина', 'лятна градина']"
Студио Морски вълни,,Созопол,,студио,3,140 лв,лукс апартамент,6,350 лв,,,,"['открит басейн', 'охрана', 'детски басейн', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'вана', 'сешоар', 'гараж', 'достъп за инвалиди', 'електрическа кана', 'асансьор']"
Хотел Табанов Бийч,3.0,Созопол,8.4,стандартна стая,2,180 лв,студио,3,250 лв,апартамент,4,290 лв,"['открит басейн', 'рент-а-кар', 'сейф', 'джакузи', 'детски кът', 'детски басейн', 'лоби бар', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'ютия', 'сешоар', 'пране', 'плащане с карта', 'достъп за инвалиди']"
Хотел Каса дел Сол,3.0,Созопол,9.5,стандартна стая,2,139 лв,стандартна стая,3,198 лв,студио,2,198 лв,"['паркинг', 'сейф', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'бизнес услуги', 'лятна градина', 'електрическа кана']"
Вила Quiet Bay,,Созопол,8.6,,,,,,,,,,"['открит басейн', 'паркинг', 'детски басейн', 'барбекю', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'изглед', 'кухненски бокс', 'електрическа кана', 'готварска печка']"
Комплекс Аполон 1 и 2,3.0,Созопол,9.2,студио,2,160 лв,апартамент,3,200 лв,апартамент,4,240 лв,"['открит басейн', 'паркинг', 'рент-а-кар', 'охрана', 'детски кът', 'детски басейн', 'тенис на маса', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'гладене', 'плащане с карта', 'хим. чистене', 'дом. любимци', 'лятна градина', 'достъп за инвалиди', 'електрическа кана']"
Хотел Мирамар,4.0,Созопол,8.6,стандартна стая,1,285 лв,стандартна стая,2,285 лв,студио,3,370 лв,"['открит басейн', 'ресторант', 'сейф', 'лоби бар', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'кухненски бокс', 'бар-басейн', 'достъп за инвалиди']"
Апартаменти под наем Панорама,3.0,Созопол,9.5,апартамент,4,247 лв,лукс апартамент,5,306 лв,,,,"['открит басейн', 'охрана', 'детски кът', 'детски басейн', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'плащане с карта', 'кафе машина', 'лятна градина', 'бар-басейн', 'достъп за инвалиди', 'електрическа кана']"
Ваканционно селище Санта Марина,3.0,Созопол,8.3,студио,3,172 лв,апартамент,4,248 лв,лукс апартамент,6,321 лв,"['открит басейн', 'паркинг', 'ресторант', 'нощен бар', 'фитнес', 'билярд', 'тенис корт', 'рент-а-кар', 'аниматори', 'охрана', 'сауна', 'джакузи', 'детски кът', 'детски басейн', 'конферентна зала', 'солариум', 'студио за масаж', 'парна баня', 'интернет клуб', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'изглед', 'вана', 'ютия', 'обменно бюро', 'кухненски бокс', 'пране', 'гладене', 'плащане с карта', 'фризьорски салон', 'хим. чистене', 'волейбол', 'футбол', 'лятна градина', 'лекарски кабинет', 'бар-басейн', 'електрическа кана']"
Хотел Флагман,3.0,Созопол,7.6,стандартна стая,2,244 лв,студио,2,250 лв,апартамент,2,258 лв,"['открит басейн', 'ресторант', 'рент-а-кар', 'сейф', 'рум сервиз', 'детски басейн', 'конферентна зала', 'лоби бар', 'телевизор', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'обменно бюро', 'плащане с карта', 'дом. любимци']"
Апартамент Б18 Созополи Хилс,3.0,Созопол,9.4,апартамент,6,290 лв,,,,,,,"['открит басейн', 'паркинг', 'фитнес', 'охрана', 'детски басейн', 'барбекю', 'телевизор', 'кухня', 'кабелна тв', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'кафе машина', 'лятна градина', 'съдомиялна', 'електрическа кана', 'готварска печка']"
Къща Арес,3.0,Созопол,8.1,стандартна стая,2,80 лв,стандартна стая,3,120 лв,студио,4,160 лв,"['телевизор', 'кабелна тв', 'сателитна тв', 'хазяи', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'ютия', 'кухненски бокс', 'електрическа кана']"
Семеен хотел Елинор,3.0,Созопол,,стандартна стая,2,60 лв,стандартна стая,3,70 лв,студио,4,60 лв,"['паркинг', 'ресторант', 'кафене', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар']"
Семеен хотел Фемили,2.0,Созопол,,стандартна стая,2,60 лв,студио,3,70 лв,апартамент,4,80 лв,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'кухненски бокс', 'пране', 'гладене', 'кафе машина']"
Дом Делииванов,,Созопол,,стандартна стая,2,30 лв,лукс стая,2,45 лв,студио,3,54 лв,"['кухня', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'кухненски бокс', 'SPA център']"
Семеен хотел Сий Сенс,3.0,Созопол,9.7,стандартна стая,2,359 лв,стандартна стая,2,416 лв,лукс стая,2,458 лв,"['открит басейн', 'паркинг', 'сейф', 'студио за масаж', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'плащане с карта']"
Семейна къща Лулеви,2.0,Созопол,,стандартна стая,1,40 лв,стандартна стая,2,80 лв,стандартна стая,2,60 лв,"['телевизор', 'кабелна тв', 'хазяи', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'ютия']"
Апартамент А19 в Созополи хилс,3.0,Созопол,9.9,студио,3,150 лв,апартамент,4,195 лв,апартамент,6,300 лв,"['открит басейн', 'паркинг', 'фитнес', 'детски кът', 'детски басейн', 'барбекю', 'телевизор', 'кухня', 'кабелна тв', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'радио', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'лятна градина', 'съдомиялна', 'електрическа кана', 'готварска печка']"
Хотел Долфин Бей Созопол,,Созопол,9.7,студио,2,290 лв,лукс апартамент,4,380 лв,,,,"['открит басейн', 'паркинг', 'рум сервиз', 'детски басейн', 'барбекю', 'кафене', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'плащане с карта', 'бар-басейн', 'електрическа кана', 'готварска печка']"
Семеен хотел Ели,3.0,Созопол,,стандартна стая,2,50 лв,апартамент,4,90 лв,,,,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия']"
Хотел Боруна,3.0,Созопол,,стандартна стая,2,100 лв,стандартна стая,3,150 лв,студио,4,140 лв,"['паркинг', 'ресторант', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'баня/тоалетна', 'тераса', 'изглед', 'лятна градина', 'механа', 'електрическа кана']"
Хотел Дриймс,3.0,Созопол,,апартамент,4,100 лв,,,,,,,"['паркинг', 'ресторант', 'охрана', 'сейф', 'детски кът', 'тенис на маса', 'лоби бар', 'кафене', 'телевизор', 'кухня', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар']"
Дом Атанасови,3.0,Созопол,,стандартна стая,2,90 лв,стандартна стая,3,120 лв,,,,"['телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'радио', 'ютия', 'пране']"
Стаи за гости Мелиа Мар,1.0,Созопол,9.5,стандартна стая,2,180 лв,апартамент,4,210 лв,,,,"['открит басейн', 'паркинг', 'детски кът', 'детски басейн', 'телевизор', 'кабелна тв', 'климатик', 'интернет', 'баня/тоалетна', 'изглед', 'сешоар']"
Семеен хотел Орион,3.0,Созопол,8.1,стандартна стая,2,100 лв,лукс стая,2,120 лв,апартамент,2,110 лв,"['ресторант', 'сейф', 'рум сервиз', 'детски кът', 'кафене', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'гладене', 'електрическа кана']"
Хотел Серена Резиденс,3.0,Созопол,7.2,студио,2,218 лв,апартамент,2,232 лв,,,,"['открит басейн', 'паркинг', 'ресторант', 'фитнес', 'рент-а-кар', 'аниматори', 'охрана', 'сейф', 'детски кът', 'детски басейн', 'барбекю', 'колела под наем', 'конферентна зала', 'тенис на маса', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'кухненски бокс', 'гладене', 'плащане с карта', 'бизнес услуги', 'хим. чистене', 'волейбол', 'футбол', 'бар-басейн', 'електрическа кана']"
Хотел Лагуна Бийч,4.0,Созопол,7.5,стандартна стая,2,380 лв,стандартна стая,3,532 лв,лукс стая,2,400 лв,"['открит басейн', 'паркинг', 'ресторант', 'фитнес', 'билярд', 'рент-а-кар', 'аниматори', 'охрана', 'сауна', 'сейф', 'джакузи', 'рум сервиз', 'детски кът', 'детски басейн', 'колела под наем', 'конферентна зала', 'козметик', 'тенис на маса', 'лоби бар', 'студио за масаж', 'парна баня', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'закрит басейн', 'фризьор', 'вана', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'гладене', 'плащане с карта', 'фризьорски салон', 'бизнес услуги', 'лятна градина', 'бар-басейн', 'достъп за инвалиди', 'SPA център']"
Семеен хотел Коминеви,2.0,Созопол,,стандартна стая,2,60 лв,стандартна стая,2,60 лв,студио,3,85 лв,"['телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'ютия', 'електрическа кана']"
Семеен хотел Лилия,3.0,Созопол,8.5,стандартна стая,2,85 лв,апартамент,2,105 лв,,,,"['паркинг', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'дом. любимци', 'електрическа кана']"
Сеемен хотел Музите,3.0,Созопол,8.8,стандартна стая,2,128 лв,студио,2,136 лв,апартамент,4,190 лв,"['открит басейн', 'паркинг', 'ресторант', 'сейф', 'детски кът', 'детски басейн', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'плащане с карта', 'лятна градина', 'бар-басейн', 'SPA център']"
Къща за гости Феникс,,Созопол,10.0,къща,14,не се дава,студио,4,165 лв,студио,4,120 лв,"['барбекю', 'камина', 'телевизор', 'кухня', 'кабелна тв', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'механа', 'съдомиялна', 'електрическа кана', 'готварска печка', 'сушилня']"
Семеен хотел Петрови,2.0,Созопол,8.3,стандартна стая,2,80 лв,стандартна стая,3,90 лв,апартамент,4,110 лв,"['телевизор', 'кухня', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'изглед', 'кухненски бокс']"
Къща ГуудРест Созопол,3.0,Созопол,,къща,7,300 лв,,,,,,,"['сауна', 'камина', 'телевизор', 'кухня', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'DVD', 'ютия', 'съдомиялна', 'електрическа кана', 'готварска печка']"
Къща Елена,3.0,Созопол,,стандартна стая,2,75 лв,стандартна стая,2,80 лв,стандартна стая,3,90 лв,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'баня/тоалетна', 'тераса', 'ютия', 'лятна градина', 'електрическа кана']"
Хотел Силвър,3.0,Созопол,9.0,стандартна стая,2,130 лв,апартамент,5,230 лв,лукс апартамент,5,250 лв,"['открит басейн', 'паркинг', 'детски басейн', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'електрическа кана', 'готварска печка']"
Семеен хотел Дом Сотирови,2.0,Созопол,,стандартна стая,2,40 лв,апартамент,4,80 лв,,,,"['сейф', 'телевизор', 'кабелна тв', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'SPA център']"
Апартаменти Калоян,3.0,Созопол,8.9,студио,4,135 лв,студио,4,100 лв,апартамент,4,160 лв,"['паркинг', 'ресторант', 'сейф', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'лятна градина', 'механа', 'електрическа кана', 'готварска печка']"
Хотел Калитея,3.0,Созопол,9.1,стандартна стая,2,153 лв,лукс стая,2,165 лв,студио,3,208 лв,"['ресторант', 'сейф', 'детски кът', 'колела под наем', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране']"
Семеен хотел Орка,2.0,Созопол,,стандартна стая,2,90 лв,стандартна стая,3,130 лв,апартамент,4,160 лв,"['телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'електрическа кана']"
Къща Ани,2.0,Созопол,9.1,стандартна стая,2,120 лв,стандартна стая,2,100 лв,стандартна стая,2,85 лв,"['телевизор', 'кабелна тв', 'климатик', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'електрическа кана']"
Хотел Аквамарин,3.0,Созопол,8.9,стандартна стая,2,138 лв,стандартна стая,3,194 лв,,,,"['фитнес', 'сейф', 'студио за масаж', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'мини-бар', 'интернет', 'баня/тоалетна', 'пералня', 'ютия', 'сешоар', 'пране', 'плащане с карта']"
Семеен хотел Венис,,Созопол,8.3,стандартна стая,2,72 лв,стандартна стая,3,85 лв,студио,4,120 лв,"['рент-а-кар', 'барбекю', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'кафе машина', 'лятна градина', 'електрическа кана']"
